Dates,Financials,Consumer Staples,Energy,Industrials,Healthcare,Consumer Discretionary,Utilities,Information Technology,Materials,S&P500,Communication Services
12/22/2000,7300,13500,11800,11800,9100,31200,357600,357600,2800,75300,37600
12/25/2000,7300,13500,11800,11800,9100,31200,357600,357600,2800,75300,37600
12/26/2000,2100,105600,5000,5000,13200,58400,460800,460800,2700,186400,32000
12/27/2000,1000,204300,12800,12800,14300,30000,197600,197600,1400,166600,48300
12/28/2000,15000,298200,4600,4600,36000,26000,387200,387200,700,157600,57600
12/29/2000,56200,23100,9200,9200,25700,32000,446400,446400,54200,250800,76500
1/1/2001,56200,23100,9200,9200,25700,32000,446400,446400,54200,250800,76500
1/2/2001,1600,21600,2400,2400,23600,48800,767600,767600,10600,174300,9600
1/3/2001,5300,46500,75600,75600,31900,36800,852400,852400,1500,194500,84500
1/4/2001,4500,187200,5800,5800,50500,22400,170400,170400,800,153500,14000
1/5/2001,4800,9000,4000,4000,17200,102800,147200,147200,1900,68400,11100
1/8/2001,1200,4200,3200,3200,32400,12800,80800,80800,1300,167700,7900
1/9/2001,44800,109200,2200,2200,14400,12800,44400,44400,800,128600,8100
1/10/2001,13600,9900,5000,5000,13800,14400,929200,929200,5600,53600,13500
1/11/2001,800,9300,2200,2200,18900,31600,210800,210800,2900,295400,46600
1/12/2001,3100,18300,2200,2200,34500,15600,263600,263600,3500,103100,34900
1/15/2001,3100,18300,2200,2200,34500,15600,263600,263600,3500,103100,34900
1/16/2001,1000,15900,4000,4000,18900,87600,84800,84800,10000,100500,31300
1/17/2001,400,177000,2000,2000,19400,52400,174400,174400,2700,100600,98100
1/18/2001,1000,501000,1400,1400,60500,36800,152800,152800,2000,69400,70300
1/19/2001,1700,192600,3000,3000,38200,20800,312400,312400,4100,39800,32200
1/22/2001,8700,33300,2800,2800,69700,97600,118800,118800,2000,39500,27000
1/23/2001,155400,15300,4000,4000,20300,140000,145600,145600,8600,35100,27500
1/24/2001,2400,51600,6400,6400,15900,40000,263200,263200,5700,204800,39600
1/25/2001,1200,21000,8600,8600,30200,29200,70800,70800,5700,137900,10000
1/26/2001,10200,149100,3600,3600,26500,28000,111200,111200,1400,131700,26800
1/29/2001,41000,11400,2200,2200,24300,15200,761200,761200,1700,105100,35200
1/30/2001,5500,8400,9000,9000,47800,43600,89200,89200,2500,61700,34600
1/31/2001,1500,136800,14200,14200,35800,132800,152800,152800,5100,307700,47800
2/1/2001,800,93600,8000,8000,43700,20800,344400,344400,6200,65000,4800
2/2/2001,2600,87300,2800,2800,15800,35600,330000,330000,1600,48500,19500
2/5/2001,1100,29400,5200,5200,14100,9200,159200,159200,800,29500,6400
2/6/2001,3000,187500,2200,2200,55200,18000,78400,78400,1800,18400,19600
2/7/2001,3200,42900,200,200,14800,16800,96800,96800,2000,52200,11000
2/8/2001,7000,21300,2600,2600,12400,9200,81600,81600,600,129400,4000
2/9/2001,3800,58500,600,600,13100,20400,100800,100800,400,61300,24800
2/12/2001,2600,81300,600,600,13100,9600,60800,60800,300,20200,11900
2/13/2001,1000,15000,800,800,21700,31200,54400,54400,600,33500,12600
2/14/2001,2500,14100,9400,9400,9700,19200,76800,76800,1000,29000,13100
2/15/2001,3100,18300,4800,4800,37200,14000,90400,90400,100,54700,12600
2/16/2001,1400,142200,1200,1200,29500,11200,142800,142800,500,231400,50100
2/19/2001,1400,142200,1200,1200,29500,11200,142800,142800,500,231400,50100
2/20/2001,1800,58200,1200,1200,14400,18000,137600,137600,3100,43400,12900
2/21/2001,3200,50100,2800,2800,12000,304400,79600,79600,1000,68800,6100
2/22/2001,3000,170400,5800,5800,61400,35200,30400,30400,4000,294300,11400
2/23/2001,1500,23100,19800,19800,4100,28800,144800,144800,1000,247400,6300
2/26/2001,4700,68100,4800,4800,13000,27200,330000,330000,1100,58900,14500
2/27/2001,2800,10200,600,600,17200,11200,207200,207200,1500,437400,9800
2/28/2001,1000,21300,800,800,26700,4800,334000,334000,1000,94600,4100
3/1/2001,500,97200,2400,2400,21800,188000,246400,246400,19400,63600,17600
3/2/2001,87200,2400,2000,2000,27700,7200,116400,116400,16400,38200,7700
3/5/2001,1600,27000,600,600,23500,8000,51200,51200,2900,462200,12700
3/6/2001,2000,8700,400,400,19400,20400,122800,122800,19100,1398300,4100
3/7/2001,10000,42000,2600,2600,48700,15600,108800,108800,29100,1012800,13000
3/8/2001,9800,135900,3800,3800,22700,11200,121200,121200,20900,107100,14600
3/9/2001,2500,86700,5000,5000,18100,18000,194000,194000,15100,2122400,11100
3/12/2001,75800,139800,57400,57400,25300,34400,167200,167200,1400,2014800,31600
3/13/2001,3300,128700,2200,2200,19900,15200,118800,118800,5200,121900,8000
3/14/2001,3500,103800,10800,10800,28000,23200,85600,85600,10800,148600,8800
3/15/2001,2100,48900,1200,1200,77100,29600,212000,212000,4600,153100,16200
3/16/2001,300,143400,5200,5200,5900,9200,146400,146400,1200,119100,7200
3/19/2001,2200,134100,400,400,9600,6800,196000,196000,1900,73700,4800
3/20/2001,1400,183600,1200,1200,22600,11600,298400,298400,3600,49400,8000
3/21/2001,1600,249300,6200,6200,24000,12800,140400,140400,2700,170600,7100
3/22/2001,2400,79500,13200,13200,36700,32800,346400,346400,6900,194400,14500
3/23/2001,600,97800,11200,11200,50300,11600,204800,204800,600,107800,10700
3/26/2001,2800,24600,3800,3800,67100,14800,138400,138400,700,44200,5200
3/27/2001,900,12000,600,600,28400,16800,93600,93600,700,117800,18100
3/28/2001,14600,60300,4200,4200,32200,77200,92400,92400,5600,130700,8000
3/29/2001,100,95400,800,800,37900,17200,93600,93600,500,78300,2800
3/30/2001,2200,146100,2600,2600,32000,11200,86800,86800,1000,881200,7300
4/2/2001,5200,8400,400,400,40300,13600,138400,138400,10300,299900,10600
4/3/2001,700,17400,1200,1200,16400,12400,205600,205600,900,136600,23200
4/4/2001,2700,21900,8600,8600,22100,36000,246800,246800,900,897100,7700
4/5/2001,400,23400,12000,12000,13900,20000,192800,192800,2000,807200,3900
4/6/2001,3400,7200,6200,6200,35200,14400,84400,84400,7000,139300,6400
